scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_capacity_MW,farm_area_km2,orientation_deg_from_north,assumptions_layout_orientation_deg_from_north,squareness,farm_AEP_MWh,farm_AEP_GWh,farm_AEP_no_wake_MWh,farm_AEP_no_wake_GWh,wake_loss_frac,wake_loss_pct,farm_cf,farm_cf_pct,turbine_net_yield_MWh,turbine_no_wake_yield_MWh,Lx_m,Ly_m,nx,ny,spacing_x_m,spacing_y_m,spacing_x_D,spacing_y_D,min_spacing_D,rank_AEP,rank_CF,rank_wake_loss
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,15.0,30.0,0.75,3951978.3202772713,3951.9783202772715,4284437.76236988,4284.43776236988,0.07759698250552094,7.759698250552094,0.6137946634792146,61.379466347921465,80652.6187811688,87437.50535448735,4743.416490252569,6324.555320336759,7,7,790.5694150420949,1054.09255338946,3.349870402720741,4.466493870294322,3.349870402720741,1.0,281.0,281.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,45.0,30.0,0.75,3951431.110496938,3951.4311104969383,4284437.76236988,4284.43776236988,0.07772470282979305,7.772470282979304,0.6137096745405738,61.37096745405738,80641.45123463139,87437.50535448735,4743.416490252569,6324.555320336759,7,7,790.5694150420949,1054.09255338946,3.349870402720741,4.466493870294322,3.349870402720741,2.0,284.0,284.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,75.0,30.0,0.75,3951247.6944478406,3951.247694447841,4284437.76236988,4284.43776236988,0.07776751265905657,7.7767512659056575,0.613681187594794,61.368118759479394,80637.70804995592,87437.50535448735,4743.416490252569,6324.555320336759,7,7,790.5694150420949,1054.09255338946,3.349870402720741,4.466493870294322,3.349870402720741,3.0,285.0,285.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,45.0,30.0,0.5,3942845.8587040305,3942.8458587040304,4284437.76236988,4284.43776236988,0.07972852509751549,7.972852509751549,0.612376271037808,61.2376271037808,80466.24201436796,87437.50535448735,3872.983346207417,7745.966692414834,5,10,968.2458365518543,860.6629658238704,4.102736595558705,3.6468769738299596,3.6468769738299596,4.0,288.0,288.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,15.0,30.0,0.5,3935726.5052889916,3935.7265052889916,4284437.76236988,4284.43776236988,0.08139020250069029,8.139020250069029,0.6112705410009927,61.127054100099265,80320.94908753045,87437.50535448735,3872.983346207417,7745.966692414834,5,10,968.2458365518543,860.6629658238704,4.102736595558705,3.6468769738299596,3.6468769738299596,5.0,293.0,293.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,75.0,30.0,0.5,3930518.5173904374,3930.5185173904374,4284437.76236988,4284.43776236988,0.08260576173795953,8.260576173795952,0.6104616713867048,61.046167138670484,80214.663620213,87437.50535448735,3872.983346207417,7745.966692414834,5,10,968.2458365518543,860.6629658238704,4.102736595558705,3.6468769738299596,3.6468769738299596,6.0,301.0,301.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,15.0,30.0,2.0,3925522.4919538577,3925.5224919538578,4284437.76236988,4284.43776236988,0.08377184833173856,8.377184833173857,0.6096857223548376,60.96857223548376,80112.70391742566,87437.50535448735,7745.966692414834,3872.983346207417,10,5,860.6629658238704,968.2458365518543,3.6468769738299596,4.102736595558705,3.6468769738299596,7.0,305.0,305.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,45.0,30.0,2.0,3921882.5162782134,3921.882516278213,4284437.76236988,4284.43776236988,0.08462142904163095,8.462142904163095,0.6091203858413651,60.91203858413651,80038.41869955538,87437.50535448735,7745.966692414834,3872.983346207417,10,5,860.6629658238704,968.2458365518543,3.6468769738299596,4.102736595558705,3.6468769738299596,8.0,311.0,311.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,75.0,30.0,2.0,3919794.5494760014,3919.7945494760015,4284437.76236988,4284.43776236988,0.0851087664515825,8.51087664515825,0.6087960968962199,60.879609689621994,79995.80713216329,87437.50535448735,7745.966692414834,3872.983346207417,10,5,860.6629658238704,968.2458365518543,3.6468769738299596,4.102736595558705,3.6468769738299596,9.0,316.0,316.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,45.0,30.0,1.0,3909452.8858055705,3909.4528858055705,4284437.76236988,4284.43776236988,0.08752254026369422,8.752254026369421,0.6071898993268056,60.71898993268056,79784.75277154226,87437.50535448735,5477.2255750516615,5477.2255750516615,7,7,912.870929175277,912.870929175277,3.86809715752236,3.86809715752236,3.86809715752236,10.0,327.0,327.0
electricity_nt49_tc15_A30_0ae18d99,electricity,49,15.0,735.0,30.0,15.0,30.0,1.0,3906793.45647642,3906.79345647642,4284437.76236988,4284.43776236988,0.08814325865818418,8.814325865818418,0.606776854669714,60.6776854669714,79730.47870360041,87437.50535448735,5477.2255750516615,5477.2255750516615,7,7,912.870929175277,912.870929175277,3.86809715752236,3.86809715752236,3.86809715752236,11.0,329.0,329.0
