sector_deg,freq,k,c,mean_speed,n_samples
0.0,0.055866942158194544,2.2857838151119068,9.017014335075157,7.987766321529502,4894
30.0,0.06304722548829352,2.3215853470321246,9.823819069633188,8.70406194397661,5523
60.0,0.06849236880857525,2.3574936464628222,10.05132589607685,8.907599893922646,6000
90.0,0.052784785561808656,2.1483259597094904,9.507529349145322,8.419958569173467,4624
120.0,0.04449720893597105,2.050521998508147,9.229178927365082,8.176052983521743,3898
150.0,0.05703131242794032,1.9692499164378905,10.59819960995483,9.395353184912977,4996
180.0,0.10389150808780721,2.1407631921316375,12.751045201760672,11.29253082281227,9101
210.0,0.17034052122692664,2.5004123278947867,14.151329700222902,12.55601368004284,14922
240.0,0.1316765790344859,2.3055219121071193,12.544658167009976,11.113807550250174,11535
270.0,0.10335498453214004,2.210078769379817,11.400187162961853,10.09645315382678,9054
300.0,0.08119770322256595,2.1817515949734787,10.171213846738363,9.007706546611495,7113
330.0,0.06781886051529092,2.172509253546229,9.950725466679042,8.812401861053631,5941
