scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt50_tc15_A200_129084fb,hydrogen_central,50,15.0,200.0,750.0,1.0,50,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,2274353.2362446613,57666157.105594866,0.46906029388302317,,,91.85380731267442,2161923078.780808,178880644.05955034,30027359.863424245,208908003.9229746,49.22223876348014,10.772338295616034,31.85923025357825
hydrogen_central_nt100_tc15_A200_ff493124,hydrogen_central,100,15.0,200.0,1500.0,1.0,50,0.08639459662359783,0.6079404668920301,117851.13019775793,,2,,4548712.044942411,115332455.50056823,0.46906029388302317,,,89.7942294487758,4221595254.4341755,349300900.4269437,59147192.63302527,408448093.059969,49.22217846319872,10.069281412683212,30.502769572893875
hydrogen_central_nt150_tc15_A200_8796017a,hydrogen_central,150,15.0,200.0,2250.0,1.0,50,0.11633680565513049,0.5880160219717878,179133.71790059205,,3,,6821842.915715989,172967619.56683543,0.4690602938830231,,,89.05813421310881,6277297459.505366,519392675.6834191,88147926.28516099,607540601.9685801,49.23101839637369,9.739927188030853,30.087188628704265
hydrogen_central_nt200_tc15_A200_1c898114,hydrogen_central,200,15.0,200.0,3000.0,1.0,50,0.14055492220723298,0.5719005600562623,235702.26039551586,,3,,9096202.17684725,230633929.4332467,0.46906029388302317,,,87.93659100451097,8255845249.930511,683100583.0218437,116788427.49791531,799889010.5197589,49.228790587735155,9.534389595084624,29.1734108216912
hydrogen_central_nt250_tc15_A200_35856c83,hydrogen_central,250,15.0,200.0,3750.0,1.0,50,0.16021636737221745,0.5588172440981931,296984.84809835,,4,,11369329.875037942,288269013.0587714,0.46906029388302317,,,87.81377464609287,10306245519.28891,852753668.4450058,145630103.07866728,998383771.523673,49.23278647790791,9.39114092915138,29.189847239033572
