scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_sLCOE,hydrogen_sLCOE,infra_sLCOE,turbine_turbine_cLCOE,turbine_foundation_cLCOE,infra_development_cLCOE,infra_infield_cLCOE,infra_offshore-platform_cLCOE,infra_offshore-substation-converter_cLCOE,infra_export_cLCOE,infra_onshore-substation_cLCOE,hydrogen_stack_cLCOE,hydrogen_bop_cLCOE,hydrogen_electrical-bop_cLCOE,hydrogen_compressor_cLCOE
electricity_nt50_tc15_A200_9276b7fa,electricity,50,15.0,200,750.0,,,,0.053754099213902395,0.6296604339166372,130000.00000000003,,,3701244.8057398256,,,,,,88.43396120509574,3398467750.0,281194139.56135786,46121600.0,327315739.56135786,30.2462452235854,,58.18771598151034,21.122513576045275,9.123731647540124,1.6878049369887604,1.7569381374411108,15.301939127787747,20.402585503716995,15.978060450018173,3.0603878255575494,,,,
electricity_nt75_tc15_A200_d86ae8fb,electricity,75,15.0,200,1125.0,,,,0.07215531677959253,0.6174157112421385,190000.00000000003,,,5443902.549194487,,,,,,84.16757529885989,4733101625.0,391623677.72898227,66576400.0,458200077.72898227,30.84609533747801,,53.32147996138188,21.541419859474097,9.30467547800391,1.174116680230498,1.7503627687132184,15.605410512772215,20.80721401702962,10.863293880081896,3.1210821025544426,,,,
electricity_nt100_tc15_A200_4c4fa626,electricity,100,15.0,200,1500.0,,,,0.08639459662359783,0.6079404668920301,250000.00000000006,,,7147142.726713154,,,,,,82.42236631078393,6067735500.0,502053215.89660674,87031200.0,589084415.8966067,31.326856705550007,,51.095509605233936,21.87716032738581,9.449696378164198,0.9145716786310109,1.756611138475139,15.848633469368927,21.1315112924919,8.274455332393167,3.1697266938737854,,,,
electricity_nt125_tc15_A200_d484cb92,electricity,125,15.0,200,1875.0,,,,0.10352008261059809,0.5965446543145069,320000.00000000006,,,8766462.382904574,,,,,,82.17906931962905,7406369375.0,612813719.8526355,107606000.0,720419719.8526355,31.92529470189682,,50.25377461773224,22.295080456275066,9.630214245621753,0.7621514313962798,1.8287493624664803,16.15139044710822,21.53518726281096,6.746018024528658,3.230278089421644,,,,
electricity_nt150_tc15_A200_209bdb13,electricity,150,15.0,200,2250.0,,,,0.11633680565513049,0.5880160219717878,380000.00000000006,,,10369356.8618114,,,,,,87.80127672331295,9394203250.0,777289971.2666867,133152800.0,910442771.2666867,32.38834178015908,,55.41293494315387,22.61845012165475,9.76989165850433,0.6583020988484728,1.8378775975404986,16.385651531500407,21.847535375333873,11.406438033630543,3.277130306300081,,,,
electricity_nt175_tc15_A200_6ef27f70,electricity,175,15.0,200,2625.0,,,,0.1285518050845479,0.5798877945896361,440000.00000000006,,,11930356.430373067,,,,,,87.28382219857521,10728837125.0,887719509.4343112,153607600.0,1041327109.4343112,32.842325824962565,,54.44149637361264,22.935490603168535,9.90683522179403,0.5843050003534693,1.8510389852567337,16.615327518295384,22.153770024393843,9.91398934165413,3.323065503659076,,,,
electricity_nt200_tc15_A200_4b1ee68a,electricity,200,15.0,200,3000.0,,,,0.14055492220723298,0.5719005600562623,500000.0000000001,,,13446892.091607463,,,,,,87.17341074920515,12063471000.0,998149047.6019356,174062400.0,1172211447.6019356,33.301005842620974,,53.87240490658417,23.255810524812745,10.045195317808227,0.5291753962340613,1.867308882451973,16.847379254220225,22.4631723389603,8.795893183873563,3.3694758508440454,,,,
electricity_nt225_tc15_A200_c2522b0b,electricity,225,15.0,200,3375.0,,,,0.14836960105665986,0.5667004381099886,570000.0000000001,,,14990201.432273066,,,,,,86.9599222830656,13402104875.0,1108909551.5579643,194637200.0,1303546751.5579643,33.6065804984175,,53.353341784648094,23.469209072891843,10.137371425525656,0.48435386381722345,1.9070065966087737,17.001973146699385,22.66929752893251,7.89031601925033,3.4003946293398766,,,,
electricity_nt250_tc15_A200_26497315,electricity,250,15.0,200,3750.0,,,,0.16021636737221745,0.5588172440981931,630000.0000000001,,,16424085.988783227,,,,,,87.33704211639105,14736738750.0,1219339089.7255888,215092000.0,1434431089.7255888,34.08066607279805,,53.256376043593,23.80028748963535,10.280378583162703,0.45088411742390383,1.9247560698861095,17.241818739000426,22.98909165200057,7.201461717481908,3.4483637478000855,,,,
hydrogen_central_nt50_tc15_A200_a9cce2e4,hydrogen_central,50,15.0,200,750.0,1.6,150.0,8.0,0.053754099213902395,0.6296604339166372,130000.00000000003,,1.0,,3116564.7031775746,79020403.22458354,0.38319594292846193,,,70.49190416933418,2261321367.157407,187105002.2792008,32587578.1147222,219692580.39392298,35.92056276347743,9.979152786325047,24.592188619531694,25.085182277074654,10.835380486402773,2.004443947453558,2.086546815017175,18.172644597022636,,2.3285532600383254,,4.7859405698413555,2.043214194009397,2.6588558721340863,0.49114215034020764
