scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt50_tc15_A200_f8203f0c,hydrogen_central,50,15.0,200,750.0,1.0,80.0,4.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,13,,2971364.055960394,75338845.23226151,0.6140240544439066,,,81.22680908648661,2551449710.788598,211110641.2762855,30243779.62365795,241354420.89994344,37.67588081385227,8.393513610516097,35.157414662118256
hydrogen_central_nt50_tc15_A200_6cd66109,hydrogen_central,50,15.0,200,750.0,1.0,80.0,5.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,7,,2971364.055960394,75338845.23226151,0.6140240544439066,,,76.41686932119391,2378139574.788598,196770709.8263602,30291628.94365795,227062338.77001816,37.67588081385227,8.393513610516097,30.347474896825556
hydrogen_central_nt50_tc15_A200_0a63e392,hydrogen_central,50,15.0,200,750.0,1.0,80.0,6.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,5,,2971364.055960394,75338845.23226151,0.6140240544439066,,,74.9202471452127,2323982622.7885985,192289685.2472964,30325644.18365795,222615329.43095434,37.67588081385227,8.393513610516097,28.850852720844333
hydrogen_central_nt50_tc15_A200_f4fd210a,hydrogen_central,50,15.0,200,750.0,1.0,80.0,7.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,3,,2971364.055960394,75338845.23226151,0.6140240544439066,,,72.78347849453338,2248147110.788598,186014945.2427649,30251266.62365795,216266211.86642283,37.67588081385227,8.393513610516097,26.714084070165033
hydrogen_central_nt50_tc15_A200_e1c8d68d,hydrogen_central,50,15.0,200,750.0,1.0,80.0,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,2,,2971364.055960394,75338845.23226151,0.6140240544439066,,,71.6350758598565,2207519534.7885985,182653360.81231576,30200528.74365795,212853889.5559737,37.67588081385227,8.393513610516097,25.565681435488123
hydrogen_central_nt50_tc15_A200_f3a8cbb9,hydrogen_central,50,15.0,200,750.0,1.0,90.0,4.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,9,,2966841.0736752446,75224165.15403765,0.6140240544439066,,,77.4430051028544,2412082845.310404,199579225.1486779,30181863.2593121,229761088.40798998,37.73331811408735,8.444793426740443,31.264893562026604
hydrogen_central_nt50_tc15_A200_3b640185,hydrogen_central,50,15.0,200,750.0,1.0,90.0,5.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,5,,2966841.0736752446,75224165.15403765,0.6140240544439066,,,74.33541280211983,2300056741.310404,190310023.1906216,30231332.739312105,220541355.92993373,37.73331811408735,8.444793426740443,28.15730126129202
hydrogen_central_nt50_tc15_A200_e8d9859f,hydrogen_central,50,15.0,200,750.0,1.0,90.0,6.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,3,,2966841.0736752446,75224165.15403765,0.6140240544439066,,,72.52426403363644,2235341709.310404,184955407.79374877,30212557.5793121,215167965.37306088,37.73331811408735,8.444793426740443,26.346152492808645
hydrogen_central_nt50_tc15_A200_7427d209,hydrogen_central,50,15.0,200,750.0,1.0,90.0,7.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,2,,2966841.0736752446,75224165.15403765,0.6140240544439066,,,71.53290544335606,2200083533.310404,182038095.28936413,30188666.699312102,212226761.98867622,37.73331811408735,8.444793426740443,25.35479390252826
hydrogen_central_nt50_tc15_A200_f18481b5,hydrogen_central,50,15.0,200,750.0,1.0,90.0,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,2,,2966841.0736752446,75224165.15403765,0.6140240544439066,,,71.87604226751085,2211686173.310404,182998114.51315704,30246679.8993121,213244794.41246915,37.73331811408735,8.444793426740443,25.697930726683047
hydrogen_central_nt50_tc15_A200_75af09c5,hydrogen_central,50,15.0,200,750.0,1.0,100.0,4.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,7,,2966137.4496068554,75206324.78719208,0.6140240544439066,,,75.49450498964055,2342073749.9720325,193786571.29014346,30140507.19916098,223927078.48930442,37.74226917291599,8.452710085450232,29.299525731274336
hydrogen_central_nt50_tc15_A200_9a56dee5,hydrogen_central,50,15.0,200,750.0,1.0,100.0,5.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,4,,2966137.4496068554,75206324.78719208,0.6140240544439066,,,73.24686367576932,2260880501.9720325,187068524.45578644,30191740.95916098,217260265.41494742,37.74226917291599,8.452710085450232,27.051884417403098
hydrogen_central_nt50_tc15_A200_ef2bd8e7,hydrogen_central,50,15.0,200,750.0,1.0,100.0,6.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,3,,2966137.4496068554,75206324.78719208,0.6140240544439066,,,72.61958297437037,2237938085.9720325,185170235.7559514,30229428.879160978,215399664.63511238,37.74226917291599,8.452710085450232,26.42460371600417
