ws_mps,farm_power_wake_MW,farm_power_nowake_MW,wake_efficiency
0.0,0.0,0.0,1.0
0.5,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.5,0.0,0.0,1.0
2.0,0.0,0.0,1.0
2.5,0.0,0.0,1.0
3.0,0.0,0.0,1.0
3.5,34.70456272853213,117.35294117647061,0.29572810345115097
4.0,122.89651123894747,234.70588235294122,0.5236192208175706
4.5,226.2732810261691,352.05882352941177,0.6427144156131787
5.0,329.65005081339035,469.41176470588243,0.7022620130109819
5.5,433.02682060061176,586.764705882353,0.7379905714496641
6.0,536.4035903878329,704.1176470588235,0.7618096104087851
6.5,639.7803601750546,821.4705882352943,0.7788232096653009
7.0,743.1571299622757,938.8235294117649,0.7915834091076871
7.5,846.5338997494968,1056.1764705882351,0.8015080086739875
8.0,949.9106695367186,1173.529411764706,0.8094476883270283
8.5,1053.2874393239404,1290.8823529411766,0.8159437898613344
9.0,1156.664209111161,1408.235294117647,0.8213572078065889
9.5,1260.0409788983827,1525.5882352941178,0.8259377922218046
10.0,1363.4177486856045,1642.9411764705885,0.8298640074348469
10.5,1466.7945184728267,1760.2941176470592,0.8332667272861503
11.0,1570.171288260047,1877.6470588235297,0.83624410715604
11.5,1673.5480580472683,1995.0000000000005,0.8388712070412371
12.0,1754.4639641725794,1995.0000000000005,0.8794305584824957
12.5,1835.379870297889,1995.0000000000005,0.9199899099237536
13.0,1905.024864101673,1995.0000000000005,0.9548996812539712
13.5,1941.3930083815576,1995.0000000000005,0.9731293275095525
14.0,1968.1694193506714,1995.0000000000005,0.98655108739382
14.5,1989.2182442725034,1995.0000000000005,0.9971018768283222
15.0,1995.0000000000005,1995.0000000000005,1.0
15.5,1995.0000000000005,1995.0000000000005,1.0
16.0,1995.0000000000005,1995.0000000000005,1.0
16.5,1995.0000000000005,1995.0000000000005,1.0
17.0,1995.0000000000005,1995.0000000000005,1.0
17.5,1995.0000000000005,1995.0000000000005,1.0
18.0,1995.0000000000005,1995.0000000000005,1.0
18.5,1995.0000000000005,1995.0000000000005,1.0
19.0,1995.0000000000005,1995.0000000000005,1.0
19.5,1995.0000000000005,1995.0000000000005,1.0
20.0,1995.0000000000005,1995.0000000000005,1.0
20.5,1995.0000000000005,1995.0000000000005,1.0
21.0,1995.0000000000005,1995.0000000000005,1.0
21.5,1995.0000000000005,1995.0000000000005,1.0
22.0,1995.0000000000005,1995.0000000000005,1.0
22.5,1995.0000000000005,1995.0000000000005,1.0
23.0,1995.0000000000005,1995.0000000000005,1.0
23.5,1995.0000000000005,1995.0000000000005,1.0
24.0,1995.0000000000005,1995.0000000000005,1.0
24.5,1995.0000000000005,1995.0000000000005,1.0
25.0,0.0,0.0,1.0
25.5,0.0,0.0,1.0
26.0,0.0,0.0,1.0
26.5,0.0,0.0,1.0
27.0,0.0,0.0,1.0
27.5,0.0,0.0,1.0
28.0,0.0,0.0,1.0
28.5,0.0,0.0,1.0
29.0,0.0,0.0,1.0
29.5,0.0,0.0,1.0
30.0,0.0,0.0,1.0
