scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_sLCOE,hydrogen_sLCOE,infra_sLCOE,turbine_turbine_cLCOE,turbine_foundation_cLCOE,infra_development_cLCOE,infra_infield_cLCOE,infra_offshore-platform_cLCOE,infra_offshore-substation-converter_cLCOE,infra_export_cLCOE,infra_onshore-substation_cLCOE,hydrogen_stack_cLCOE,hydrogen_bop_cLCOE,hydrogen_electrical-bop_cLCOE,hydrogen_compressor_cLCOE
electricity_nt67_tc15_A50_926b1bfe,electricity,67,15.0,50.0,1005.0,,,,0.12196364197261267,0.5842717561373991,85000.00000000001,,,4602153.477206819,,,,,,89.62061024117777,4271698785.0,353446539.05083334,59001264.0,412447803.05083334,32.59590026691817,,57.02470997425961,22.763398921811064,9.832501345107108,1.378798340735304,1.01935216168892,16.490657865554944,21.98754382073993,12.850226212429515,3.2981315731109895,,,,
electricity_nt67_tc15_A75_c359a6d5,electricity,67,15.0,75.0,1005.0,,,,0.10356030071164046,0.5965178919825036,104103.31406828508,,,4698613.037454056,,,,,,87.96410640016848,4279340110.627314,354078793.3910079,59230503.76881942,413309297.15982735,31.926727006522718,,56.03737939364575,22.29608070849421,9.630646298028513,1.3504924809939765,1.1817762305911559,16.15211506723994,21.536153422986587,12.586419178386102,3.230423013447988,,,,
electricity_nt67_tc15_A100_f2a35312,electricity,67,15.0,100.0,1005.0,,,,0.09153300445663248,0.6045212160365162,120208.15280171309,,,4761653.095847237,,,,,,86.95206516631232,4285782046.120685,354611808.4558612,59423761.833620556,414035570.28948176,31.504045493552013,,55.44801967276032,22.000900399994126,9.503145093557889,1.3326131598532447,1.3186559809532268,15.938275407668726,21.251033876891636,12.419786165859737,3.1876550815337454,,,,
electricity_nt67_tc15_A125_1cc8c624,electricity,67,15.0,125.0,1005.0,,,,0.0829344886469785,0.6102429266312442,134396.80055715612,,,4806721.490874886,,,,,,86.2699098645193,4291457505.2228622,355081404.15493834,59594025.60668588,414675429.7616242,31.208659798756123,,55.06125006576318,21.794617329074946,9.414042469681178,1.320118419639707,1.4394097555559757,15.788836233067926,21.051781644090568,12.303336766795425,3.1577672466135853,,,,
electricity_nt67_tc15_A150_12e95070,electricity,67,15.0,150.0,1005.0,,,,0.07637904415256302,0.614605116228516,147224.31864335458,,,4841081.300008973,,,,,,85.77709838121412,4296588512.457342,355505951.1186054,59747955.823720254,415253906.94232565,30.98715482340817,,54.78994355780594,21.63992897637653,9.34722584703164,1.310748815181065,1.5486868578086683,15.676774202749083,20.902365603665448,12.21601323785186,3.1353548405498173,,,,
electricity_nt67_tc15_A175_a75eb836,electricity,67,15.0,175.0,1005.0,,,,0.07112564460992754,0.618100886020285,159020.43893789253,,,4868616.550401808,,,,,,85.40123612258694,4301306960.575157,355896362.3439447,59889509.26725471,415785871.61119944,30.811901944445324,,54.58933417814161,21.517540848932295,9.294361095513027,1.3033356627065404,1.649192038982491,15.58811166410882,20.784148885478427,12.146923594043564,3.1176223328217643,,,,
electricity_nt67_tc15_A200_ef44f15b,electricity,67,15.0,200.0,1005.0,,,,0.06663475603919733,0.6210892581165531,170000.00000000003,,,4892155.163880146,,,,,,85.09153906764121,4305698785.0,356259748.2522701,60021264.0,416281012.2522701,30.66365042213925,,54.42788864550196,21.41400916195987,9.249641260179377,1.2970646607923961,1.7424680966354928,15.513109436455105,20.684145915273476,12.088478649054467,3.1026218872910216,,,,
electricity_nt67_tc15_A225_94249dd2,electricity,67,15.0,225.0,1005.0,,,,0.06276482472800171,0.6236644266077568,180312.22920256964,,,4912439.0822823215,,,,,,84.83485525807356,4309823676.681028,356601047.75909364,60145010.75043084,416746058.50952446,30.537037354240088,,54.29781790383346,21.325588724122536,9.21144863011755,1.2917089600292562,1.829940362319876,15.449054363058272,20.59873915074436,12.038564195070045,3.0898108726116544,,,,
electricity_nt67_tc15_A250_a715f7e4,electricity,67,15.0,250.0,1005.0,,,,0.059365013522923005,0.6259267630647455,190065.77808748212,,,4930258.905819528,,,,,,84.61744467483307,4313725096.234993,356923856.8587371,60262053.33704978,417185910.1957869,30.426664932142877,,54.19077974269019,21.248509967174837,9.17815496496804,1.287040234477748,1.9125409883116715,15.3932156276439,20.5242875035252,11.995052263202885,3.0786431255287803,,,,
electricity_nt67_tc15_A275_b0f9ff91,electricity,67,15.0,275.0,1005.0,,,,0.05637957496838697,0.6279133635183052,199342.66979249578,,,4945906.830075891,,,,,,84.4343172286463,4317435852.916998,357230890.2364462,60373376.03750995,417604266.2739562,30.330400654510985,,54.10391657413532,21.1812836554083,9.149116999102684,1.2829682798704491,1.9910763904112405,15.344514372145413,20.459352496193887,11.957102161085244,3.068902874429083,,,,
